,Date,Open,High,Low,Close,DeltaSP500,DeltaSP500-CUM,Delta%-SP500,Delta%-SP500-CUM
160,1928-08-20,19.77,19.77,19.77,19.77,0.129999999999999,2.1099999999999994,0.006619144602851273,0.12007901948607351
161,1928-08-21,20.02,20.02,20.02,20.02,0.25,2.3599999999999994,0.012645422357106728,0.13272444184318025
162,1928-08-22,20.0,20.0,20.0,20.0,-0.019999999999999574,2.34,-0.0009990009990009777,0.13172544084417928
163,1928-08-23,20.02,20.02,20.02,20.02,0.019999999999999574,2.3599999999999994,0.0009999999999999788,0.13272544084417925
164,1928-08-24,20.34,20.34,20.34,20.34,0.3200000000000003,2.6799999999999997,0.015984015984015998,0.14870945682819525
165,1928-08-27,20.38,20.38,20.38,20.38,0.03999999999999915,2.719999999999999,0.0019665683382497122,0.15067602516644496
166,1928-08-28,20.54,20.54,20.54,20.54,0.16000000000000014,2.879999999999999,0.007850834151128566,0.15852685931757352
167,1928-08-29,20.58,20.58,20.58,20.58,0.03999999999999915,2.919999999999998,0.001947419668938615,0.16047427898651212
168,1928-08-30,20.61,20.61,20.61,20.61,0.030000000000001137,2.9499999999999993,0.0014577259475219212,0.16193200493403404
169,1928-08-31,20.87,20.87,20.87,20.87,0.26000000000000156,3.210000000000001,0.01261523532265898,0.17454724025669302
170,1928-09-04,20.97,20.97,20.97,20.97,0.09999999999999787,3.3099999999999987,0.0047915668423573485,0.17933880709905037
171,1928-09-05,21.07,21.07,21.07,21.07,0.10000000000000142,3.41,0.004768717215069215,0.18410752431411959
172,1928-09-06,20.94,20.94,20.94,20.94,-0.129999999999999,3.280000000000001,-0.006169909824394827,0.17793761448972475
173,1928-09-07,21.09,21.09,21.09,21.09,0.14999999999999858,3.4299999999999997,0.007163323782234889,0.18510093827195964
174,1928-09-10,20.92,20.92,20.92,20.92,-0.16999999999999815,3.2600000000000016,-0.0080606922712185,0.17704024600074114
175,1928-09-11,21.08,21.08,21.08,21.08,0.1599999999999966,3.419999999999998,0.00764818355640519,0.18468842955714634
176,1928-09-12,21.16,21.16,21.16,21.16,0.08000000000000185,3.5,0.003795066413662327,0.18848349597080868
177,1928-09-13,21.14,21.14,21.14,21.14,-0.019999999999999574,3.4800000000000004,-0.0009451795841209628,0.18753831638668772
178,1928-09-14,21.14,21.14,21.14,21.14,0.0,3.4800000000000004,0.0,0.18753831638668772
179,1928-09-17,21.33,21.33,21.33,21.33,0.18999999999999773,3.669999999999998,0.008987701040681065,0.19652601742736878
180,1928-09-18,21.18,21.18,21.18,21.18,-0.14999999999999858,3.5199999999999996,-0.007032348804500637,0.18949366862286815
181,1928-09-19,21.18,21.18,21.18,21.18,0.0,3.5199999999999996,0.0,0.18949366862286815
182,1928-09-20,21.22,21.22,21.22,21.22,0.03999999999999915,3.5599999999999987,0.0018885741265344262,0.19138224274940258
183,1928-09-21,21.36,21.36,21.36,21.36,0.14000000000000057,3.6999999999999993,0.006597549481621139,0.19797979223102372
184,1928-09-24,21.43,21.43,21.43,21.43,0.07000000000000028,3.7699999999999996,0.0032771535580524477,0.20125694578907616
185,1928-09-25,21.41,21.41,21.41,21.41,-0.019999999999999574,3.75,-0.0009332711152589628,0.2003236746738172
186,1928-09-26,21.4,21.4,21.4,21.4,-0.010000000000001563,3.7399999999999984,-0.00046707146193374885,0.19985660321188345
187,1928-09-27,21.13,21.13,21.13,21.13,-0.2699999999999996,3.469999999999999,-0.012616822429906523,0.18723978078197692
188,1928-09-28,21.14,21.14,21.14,21.14,0.010000000000001563,3.4800000000000004,0.000473260766682516,0.18771304154865945
189,1928-10-01,21.36,21.36,21.36,21.36,0.21999999999999886,3.6999999999999993,0.010406811731314988,0.19811985327997444
190,1928-10-02,21.26,21.26,21.26,21.26,-0.09999999999999787,3.6000000000000014,-0.004681647940074807,0.19343820533989964
191,1928-10-03,21.19,21.19,21.19,21.19,-0.07000000000000028,3.530000000000001,-0.003292568203198508,0.19014563713670113
192,1928-10-04,21.26,21.26,21.26,21.26,0.07000000000000028,3.6000000000000014,0.0033034450212364457,0.19344908215793757
193,1928-10-05,21.22,21.22,21.22,21.22,-0.0400000000000027,3.5599999999999987,-0.001881467544684981,0.19156761461325258
194,1928-10-08,21.11,21.11,21.11,21.11,-0.10999999999999943,3.4499999999999993,-0.005183788878416562,0.18638382573483603
195,1928-10-09,21.18,21.18,21.18,21.18,0.07000000000000028,3.5199999999999996,0.003315963998105177,0.18969978973294122
196,1928-10-10,21.41,21.41,21.41,21.41,0.23000000000000043,3.75,0.010859301227573203,0.2005590909605144
197,1928-10-11,21.51,21.51,21.51,21.51,0.10000000000000142,3.8500000000000014,0.004670714619336825,0.20522980557985124
198,1928-10-15,21.65,21.65,21.65,21.65,0.13999999999999702,3.9899999999999984,0.006508600650859926,0.21173840623071116
199,1928-10-16,21.72,21.72,21.72,21.72,0.07000000000000028,4.059999999999999,0.0032332563510392744,0.21497166258175043
200,1928-10-17,21.79,21.79,21.79,21.79,0.07000000000000028,4.129999999999999,0.003222836095764286,0.21819449867751473
201,1928-10-18,21.84,21.84,21.84,21.84,0.05000000000000071,4.18,0.0022946305644791515,0.22048912924199388
202,1928-10-19,21.96,21.96,21.96,21.96,0.120000000000001,4.300000000000001,0.00549450549450554,0.2259836347364994
203,1928-10-22,21.81,21.81,21.81,21.81,-0.15000000000000213,4.149999999999999,-0.006830601092896272,0.21915303364360314
204,1928-10-23,21.95,21.95,21.95,21.95,0.14000000000000057,4.289999999999999,0.006419073819348949,0.2255721074629521
205,1928-10-24,21.99,21.99,21.99,21.99,0.03999999999999915,4.329999999999998,0.0018223234624145399,0.22739443092536663
206,1928-10-25,21.91,21.91,21.91,21.91,-0.0799999999999983,4.25,-0.0036380172805820054,0.22375641364478463
